0	0	8.05	0.78	7.71	101.96	2648.21	26.26
0	1	8.10	0.78	-4.55	101.98	2648.21	26.26
0	2	8.26	0.78	-12.79	102.25	2835.53	371.52
0	3	7.82	0.77	16.29	101.51	2648.21	26.26
1	0	7.93	0.08	-164.26	97.73	2648.21	26.26
1	1	8.39	0.78	-43.56	102.44	2431.23	333.06
1	2	8.54	0.78	-24.87	102.73	2579.44	341.87
1	3	8.71	0.79	-45.88	103.04	2435.75	327.13
2	0	8.23	0.78	-13.11	102.20	2661.81	355.75
2	1	8.29	0.78	-35.37	102.27	2659.58	355.94
2	2	8.29	0.78	-25.77	102.27	2501.88	340.34
2	3	8.29	0.78	-30.59	102.28	2663.87	355.99
3	0	8.12	0.78	-17.35	101.98	2458.78	339.39
3	1	8.64	0.79	-32.74	102.92	2648.21	26.26
3	2	8.30	0.78	-17.78	102.29	2678.53	356.01
3	3	8.31	0.78	-35.17	102.30	2648.21	26.26
4	0	8.54	0.78	-28.18	102.72	2748.37	357.47
4	1	8.76	0.79	-38.12	103.11	2808.35	358.85
4	2	8.84	0.79	-35.49	103.27	2572.01	335.75
4	3	8.78	0.79	-34.40	103.16	2468.69	327.52
5	0	7.93	0.08	159.54	99.49	2648.21	26.26
5	1	7.76	0.77	18.87	101.42	2850.18	384.06
5	2	7.99	0.78	17.72	101.75	2373.62	330.86
5	3	7.47	0.77	45.70	101.23	2648.21	26.26
6	0	7.93	0.08	224.09	106.59	2648.21	26.26
6	1	7.93	0.08	267.40	101.81	2648.21	26.26
6	2	7.93	0.08	401.83	97.86	2648.21	26.26
6	3	7.93	0.08	154.22	107.33	2648.21	26.26
7	0	7.93	0.08	63.91	94.77	2648.21	26.26
7	1	7.93	0.08	297.33	102.24	2648.21	26.26
7	2	7.93	0.08	276.31	110.95	2648.21	26.26
7	3	6.96	0.90	-2.07	112.67	2648.21	26.26
8	0	7.93	0.08	0.00	0.00	2648.21	26.26
8	1	7.93	0.08	0.00	0.00	2648.21	26.26
8	2	7.93	0.08	0.00	0.00	2648.21	26.26
8	3	7.93	0.08	0.00	0.00	2648.21	26.26
9	0	7.93	0.08	166.36	109.45	2648.21	26.26
9	1	7.93	0.08	296.43	102.98	2648.21	26.26
9	2	7.93	0.08	590.04	96.94	2648.21	26.26
9	3	7.93	0.08	108.29	108.81	2648.21	26.26
10	0	7.93	0.08	203.95	101.07	2648.21	26.26
10	1	7.93	0.08	133.61	102.99	2648.21	26.26
10	2	7.93	0.08	125.70	114.40	2648.21	26.26
10	3	7.93	0.08	94.99	111.63	2648.21	26.26
11	0	7.93	0.08	274.39	104.40	2648.21	26.26
11	1	7.93	0.08	336.88	99.21	2648.21	26.26
11	2	7.93	0.08	613.98	97.49	2648.21	26.26
11	3	7.93	0.08	246.90	112.57	2648.21	26.26
12	0	8.08	0.78	9.05	102.14	2796.57	371.41
12	1	8.43	0.78	-30.77	102.52	2708.13	356.82
12	2	8.20	0.78	-24.45	102.11	2640.90	355.37
12	3	8.28	0.78	-37.42	102.30	2819.06	371.72
13	0	7.73	0.84	-46.65	107.13	2774.44	412.54
13	1	7.10	0.83	-21.35	106.43	2648.21	26.26
13	2	7.93	0.08	688.98	97.93	2648.21	26.26
13	3	8.69	0.83	-164.79	106.58	2648.21	26.26
14	0	7.93	0.08	122.03	105.80	2648.21	26.26
14	1	7.93	0.08	92.36	101.07	2648.21	26.26
14	2	7.93	0.08	485.21	96.57	2648.21	26.26
14	3	7.86	0.82	-60.70	106.05	2648.21	26.26
15	0	8.42	0.78	-13.11	102.63	2648.21	26.26
15	1	7.85	0.78	10.31	101.56	2648.21	26.26
15	2	7.87	0.77	14.21	101.54	2414.16	337.90
15	3	7.64	0.77	7.57	101.25	2648.21	26.26
16	0	6.43	0.76	144.60	99.84	2648.21	26.26
16	1	7.70	0.77	21.83	101.34	2648.21	26.26
16	2	7.67	0.77	16.23	101.20	2815.25	383.14
16	3	7.15	0.77	59.41	100.69	2648.21	26.26
17	0	7.04	0.77	66.42	101.07	2776.98	399.37
17	1	7.03	0.77	61.98	100.39	2648.21	26.26
17	2	7.94	0.78	8.62	101.70	2588.27	354.01
17	3	8.18	0.78	-46.35	102.36	2613.38	356.54
18	0	6.67	0.77	99.61	100.31	2648.21	26.26
18	1	7.55	0.77	42.65	101.26	2646.25	368.24
18	2	7.91	0.78	20.53	101.66	2648.21	26.26
18	3	7.72	0.78	12.12	101.64	2675.40	369.70
19	0	6.68	0.77	98.21	100.58	2648.21	26.26
19	1	7.42	0.77	35.67	101.10	2648.21	26.26
19	2	7.70	0.77	51.38	101.35	2648.21	26.26
19	3	8.15	0.78	-9.62	102.52	2801.58	373.06
