CF13	20	521.082094336	0.909649925327	95.8331440957	0.723009715825	559.090909091
CF13	32	861.420776267	1.68336591271	147.696782007	2.30316267208	859.090909091
CF13	50	1329.32839017	5.33344039265	177.626578445	6.95923128592	1377.27272727
CF13	80	583.190939999	56.8452646248	276.362814135	175.874414193	531.818181818
CF13	90	584.456600804	17.2266726951	160.351218533	30.6140072696	559.090909091
CF13	90	2393.70674885	40.9285118835	424.073035155	128.900089302	2440.90909091
CF13	90	2392.24012941	37.0651164533	369.64447285	98.6409291925	2445.0
CF13	90	2375.34215139	73.4604618779	484.741721778	203.327410665	2451.0
CF13	90	2351.29817648	142.54695165	667.830978328	402.28020137	2450.0
CF13	90	2402.41934572	50.6516857547	463.054198302	166.902290039	2456.25
CF13	90	2414.47548001	28.3506198344	348.6513016	82.6458441948	2452.94117647
CF13	90	2414.47548001	28.3506198344	348.6513016	82.6458441948	2452.94117647
